title,index_type,link,score,query
Non-System_Filemods_to_system32,events,https://github.com/boingomw/Lazerbearsharkpig/dwatchlists.csv,40,filemod:c:\windows\system32* -path:c:\windows\* -alliance_score_deloitteexceptions:*
Autoruns,events,https://github.com/boingomw/Lazerbearsharkpig/dwatchlists.csv,20,((regmod:registry\machine\software\microsoft\windows\ nt\currentversion\winlogon\userinit OR regmod:registry\machine\software\microsoft\windows\ nt\currentversion\winlogon\shell OR regmod:software\microsoft\windows\currentversion\explorer\browser\ helper\ objects\* OR regmod:software\microsoft\windows\currentversion\run\*) AND -path:"c:\program files (x86)\google\chrome\application\chrome.exe") -alliance_score_deloitteexceptions:*
Execution_MS_signed_from_non-default_dirs,events,https://github.com/boingomw/Lazerbearsharkpig/dwatchlists.csv,40,digsig_publisher:"Microsoft Corporation"  -path:windows*  -path:program\ files -alliance_score_deloitteexceptions:*
Network Connections to Non-loopback - Unsigned binaries,events,https://github.com/boingomw/Lazerbearsharkpig/dwatchlists.csv,70,netconn_count:[1 TO *] AND -digsig_result:signed AND -ipaddr:127.0.0.1 -alliance_score_deloitteexceptions:*
